PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_LW_DWN,1984,-10.75,-73.75,413.73,413.53,413.18,411.62,413.97,415.87,408.18,410.08,405.76,411.18,410.41,410.53,411.5
ALLSKY_SFC_LW_DWN,1984,-10.75,-74.25,358.22,390.62,389.2,393.0,394.34,391.8,389.01,394.02,385.63,379.02,372.48,385.44,385.2
ALLSKY_SFC_LW_DWN,1984,-10.75,-74.75,358.22,390.62,389.2,393.0,394.34,391.8,389.01,394.02,385.63,379.02,372.48,385.44,385.2
ALLSKY_SFC_LW_DWN,1984,-10.75,-75.25,234.41,249.3,225.28,258.82,237.55,219.96,222.09,237.42,243.97,258.05,226.62,237.83,237.55
ALLSKY_SFC_LW_DWN,1984,-10.75,-75.75,234.41,249.3,225.28,258.82,237.55,219.96,222.09,237.42,243.97,258.05,226.62,237.83,237.55
ALLSKY_SFC_LW_DWN,1984,-10.75,-76.25,265.74,262.88,264.68,263.76,262.37,266.8,256.34,280.35,277.99,283.59,263.0,281.91,269.16
ALLSKY_SFC_LW_DWN,1984,-11.25,-73.75,394.04,388.91,392.26,398.05,386.65,391.76,392.17,398.27,387.36,390.51,391.95,395.7,392.32
ALLSKY_SFC_LW_DWN,1984,-11.25,-74.25,333.38,333.49,303.8,274.81,285.65,265.6,255.05,238.08,296.8,311.55,276.01,319.97,291.09
ALLSKY_SFC_LW_DWN,1984,-11.25,-74.75,333.38,333.49,303.8,274.81,285.65,265.6,255.05,238.08,296.8,311.55,276.01,319.97,291.09
ALLSKY_SFC_LW_DWN,1984,-11.25,-75.25,254.38,254.89,250.52,240.45,237.37,231.4,224.14,232.7,239.98,244.33,252.27,247.8,242.47
ALLSKY_SFC_LW_DWN,1984,-11.25,-75.75,254.38,254.89,250.52,240.45,237.37,231.4,224.14,232.7,239.98,244.33,252.27,247.8,242.47
ALLSKY_SFC_LW_DWN,1984,-11.25,-76.25,311.38,299.94,308.02,321.86,324.3,328.54,314.36,305.72,306.84,319.6,278.66,340.24,313.41
ALLSKY_SFC_LW_DWN,1984,-11.75,-73.75,394.04,388.91,392.26,398.05,386.65,391.76,392.17,398.27,387.36,390.51,391.95,395.7,392.32
ALLSKY_SFC_LW_DWN,1984,-11.75,-74.25,333.38,333.49,303.8,274.81,285.65,265.6,255.05,238.08,296.8,311.55,276.01,319.97,291.09
ALLSKY_SFC_LW_DWN,1984,-11.75,-74.75,333.38,333.49,303.8,274.81,285.65,265.6,255.05,238.08,296.8,311.55,276.01,319.97,291.09
ALLSKY_SFC_LW_DWN,1984,-11.75,-75.25,254.38,254.89,250.52,240.45,237.37,231.4,224.14,232.7,239.98,244.33,252.27,247.8,242.47
ALLSKY_SFC_LW_DWN,1984,-11.75,-75.75,254.38,254.89,250.52,240.45,237.37,231.4,224.14,232.7,239.98,244.33,252.27,247.8,242.47
ALLSKY_SFC_LW_DWN,1984,-11.75,-76.25,311.38,299.94,308.02,321.86,324.3,328.54,314.36,305.72,306.84,319.6,278.66,340.24,313.41
ALLSKY_SFC_LW_DWN,1984,-12.25,-73.75,338.31,340.95,335.35,327.09,335.5,325.56,315.55,348.74,344.91,344.91,342.47,336.67,336.33
ALLSKY_SFC_LW_DWN,1984,-12.25,-74.25,265.74,257.88,239.16,265.21,274.87,287.2,245.83,269.83,249.79,254.38,266.37,230.05,258.77
ALLSKY_SFC_LW_DWN,1984,-12.25,-74.75,265.74,257.88,239.16,265.21,274.87,287.2,245.83,269.83,249.79,254.38,266.37,230.05,258.77
ALLSKY_SFC_LW_DWN,1984,-12.25,-75.25,299.07,288.84,293.52,290.3,282.14,280.64,278.08,281.48,281.59,303.19,293.86,298.72,289.32
ALLSKY_SFC_LW_DWN,1984,-12.25,-75.75,299.07,288.84,293.52,290.3,282.14,280.64,278.08,281.48,281.59,303.19,293.86,298.72,289.32
ALLSKY_SFC_LW_DWN,1984,-12.25,-76.25,368.35,353.05,370.61,360.27,351.31,338.57,315.52,316.28,308.71,327.16,326.77,352.2,340.74
ALLSKY_SFC_LW_DWN,1985,-10.75,-73.75,414.7,409.77,411.73,414.54,404.67,399.97,393.13,402.48,401.48,404.55,405.45,409.87,406.01
ALLSKY_SFC_LW_DWN,1985,-10.75,-74.25,393.35,388.17,388.47,392.8,386.65,385.35,372.62,385.43,393.66,387.52,395.07,390.55,388.27
ALLSKY_SFC_LW_DWN,1985,-10.75,-74.75,393.35,388.17,388.47,392.8,386.65,385.35,372.62,385.43,393.66,387.52,395.07,390.55,388.27
ALLSKY_SFC_LW_DWN,1985,-10.75,-75.25,234.94,244.54,241.24,288.96,298.35,332.26,258.34,287.09,337.15,330.73,268.23,237.72,279.96
ALLSKY_SFC_LW_DWN,1985,-10.75,-75.75,234.94,244.54,241.24,288.96,298.35,332.26,258.34,287.09,337.15,330.73,268.23,237.72,279.96
ALLSKY_SFC_LW_DWN,1985,-10.75,-76.25,269.41,268.3,270.86,276.33,272.91,276.56,267.0,274.34,274.43,280.73,276.75,284.59,274.38
ALLSKY_SFC_LW_DWN,1985,-11.25,-73.75,392.91,386.08,392.52,393.25,386.92,382.55,378.03,383.85,392.88,392.28,396.3,395.55,389.44
ALLSKY_SFC_LW_DWN,1985,-11.25,-74.25,241.15,277.29,316.45,254.73,321.02,317.25,283.46,293.39,328.74,268.68,219.22,317.48,286.72
ALLSKY_SFC_LW_DWN,1985,-11.25,-74.75,241.15,277.29,316.45,254.73,321.02,317.25,283.46,293.39,328.74,268.68,219.22,317.48,286.72
ALLSKY_SFC_LW_DWN,1985,-11.25,-75.25,234.45,248.82,251.81,244.13,243.2,242.05,229.7,238.31,253.78,236.2,241.66,252.9,243.01
ALLSKY_SFC_LW_DWN,1985,-11.25,-75.75,234.45,248.82,251.81,244.13,243.2,242.05,229.7,238.31,253.78,236.2,241.66,252.9,243.01
ALLSKY_SFC_LW_DWN,1985,-11.25,-76.25,330.83,327.75,321.55,327.86,317.29,306.2,302.74,307.73,314.66,307.7,308.48,331.14,316.94
ALLSKY_SFC_LW_DWN,1985,-11.75,-73.75,392.91,386.08,392.52,393.25,386.92,382.55,378.03,383.85,392.88,392.28,396.3,395.55,389.44
ALLSKY_SFC_LW_DWN,1985,-11.75,-74.25,241.15,277.29,316.45,254.73,321.02,317.25,283.46,293.39,328.74,268.68,219.22,317.48,286.72
ALLSKY_SFC_LW_DWN,1985,-11.75,-74.75,241.15,277.29,316.45,254.73,321.02,317.25,283.46,293.39,328.74,268.68,219.22,317.48,286.72
ALLSKY_SFC_LW_DWN,1985,-11.75,-75.25,234.45,248.82,251.81,244.13,243.2,242.05,229.7,238.31,253.78,236.2,241.66,252.9,243.01
ALLSKY_SFC_LW_DWN,1985,-11.75,-75.75,234.45,248.82,251.81,244.13,243.2,242.05,229.7,238.31,253.78,236.2,241.66,252.9,243.01
ALLSKY_SFC_LW_DWN,1985,-11.75,-76.25,330.83,327.75,321.55,327.86,317.29,306.2,302.74,307.73,314.66,307.7,308.48,331.14,316.94
ALLSKY_SFC_LW_DWN,1985,-12.25,-73.75,337.55,344.9,336.9,350.77,337.12,323.78,325.05,331.21,351.38,345.06,344.61,334.04,338.44
ALLSKY_SFC_LW_DWN,1985,-12.25,-74.25,246.45,248.31,242.39,278.2,264.14,256.88,212.86,243.2,278.79,303.8,273.83,256.03,258.68
ALLSKY_SFC_LW_DWN,1985,-12.25,-74.75,246.45,248.31,242.39,278.2,264.14,256.88,212.86,243.2,278.79,303.8,273.83,256.03,258.68
ALLSKY_SFC_LW_DWN,1985,-12.25,-75.25,300.39,305.62,299.13,302.11,290.2,286.39,277.96,282.09,290.45,285.91,289.3,308.91,293.12
ALLSKY_SFC_LW_DWN,1985,-12.25,-75.75,300.39,305.62,299.13,302.11,290.2,286.39,277.96,282.09,290.45,285.91,289.3,308.91,293.12
ALLSKY_SFC_LW_DWN,1985,-12.25,-76.25,344.63,348.8,344.78,336.91,322.8,305.82,298.46,307.45,324.57,321.13,313.7,341.7,325.77
ALLSKY_SFC_LW_DWN,1986,-10.75,-73.75,410.89,412.09,409.74,409.54,409.55,395.28,392.67,401.04,402.88,403.55,405.48,415.61,405.67
ALLSKY_SFC_LW_DWN,1986,-10.75,-74.25,393.68,389.32,388.28,388.98,393.03,380.8,383.28,388.83,389.02,388.66,391.66,387.59,388.59
ALLSKY_SFC_LW_DWN,1986,-10.75,-74.75,393.68,389.32,388.28,388.98,393.03,380.8,383.28,388.83,389.02,388.66,391.66,387.59,388.59
ALLSKY_SFC_LW_DWN,1986,-10.75,-75.25,233.18,255.78,248.73,268.41,257.64,250.53,262.97,275.16,289.97,242.33,223.98,233.52,253.45
ALLSKY_SFC_LW_DWN,1986,-10.75,-75.75,233.18,255.78,248.73,268.41,257.64,250.53,262.97,275.16,289.97,242.33,223.98,233.52,253.45
ALLSKY_SFC_LW_DWN,1986,-10.75,-76.25,261.98,261.28,255.37,267.94,256.44,250.42,271.55,280.1,276.09,275.82,277.78,276.75,267.67
ALLSKY_SFC_LW_DWN,1986,-11.25,-73.75,394.52,385.66,391.08,391.55,385.69,380.63,379.23,385.41,384.71,391.07,393.37,392.82,388.0
