PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1984,-10.75,-73.75,22.94,22.51,22.96,22.84,23.69,23.31,22.85,24.0,26.18,26.92,24.7,24.99,24.0
T2M,1984,-10.75,-74.25,21.26,20.8,21.13,21.17,22.38,21.92,21.74,22.55,24.49,24.86,22.86,23.12,22.36
T2M,1984,-10.75,-74.75,20.16,19.9,20.12,20.35,21.42,20.95,20.96,21.6,23.24,23.43,21.64,21.72,21.3
T2M,1984,-10.75,-75.25,16.4,16.45,16.6,16.73,17.28,16.82,16.59,17.05,18.46,18.74,17.55,17.54,17.19
T2M,1984,-10.75,-75.75,10.25,10.55,10.66,10.49,10.5,10.03,9.27,9.63,10.88,11.39,10.98,11.01,10.47
T2M,1984,-10.75,-76.25,5.49,5.71,5.85,5.62,5.68,5.17,4.26,5.01,5.92,6.48,6.16,6.22,5.63
T2M,1984,-11.25,-73.75,21.6,20.96,21.51,21.58,22.55,22.17,21.74,22.65,24.31,25.15,23.0,23.17,22.54
T2M,1984,-11.25,-74.25,19.92,19.23,19.71,19.94,21.12,20.52,20.23,20.89,22.47,23.06,21.17,21.33,20.81
T2M,1984,-11.25,-74.75,15.98,15.7,16.06,16.2,17.05,16.43,16.01,16.5,17.86,18.36,17.08,17.13,16.7
T2M,1984,-11.25,-75.25,11.87,11.96,12.22,12.17,12.41,11.9,11.18,11.61,12.79,13.38,12.74,12.72,12.25
T2M,1984,-11.25,-75.75,8.45,8.68,8.88,8.71,8.49,8.12,7.11,7.65,8.68,9.37,9.11,9.12,8.53
T2M,1984,-11.25,-76.25,5.41,5.63,5.74,5.74,5.83,5.39,4.42,5.34,6.0,6.52,6.14,6.24,5.7
T2M,1984,-11.75,-73.75,19.79,18.88,19.51,19.78,20.76,20.28,19.73,20.41,21.67,22.37,20.68,20.57,20.37
T2M,1984,-11.75,-74.25,17.69,16.81,17.42,17.66,18.62,17.96,17.46,17.99,19.25,19.96,18.45,18.38,18.14
T2M,1984,-11.75,-74.75,12.41,11.93,12.49,12.41,12.93,12.22,11.5,11.97,12.98,13.81,13.09,12.95,12.56
T2M,1984,-11.75,-75.25,8.37,8.27,8.79,8.52,8.54,7.91,6.99,7.5,8.35,9.2,9.07,8.9,8.37
T2M,1984,-11.75,-75.75,7.08,7.21,7.65,7.53,7.25,6.77,5.84,6.45,7.29,7.97,7.84,7.81,7.22
T2M,1984,-11.75,-76.25,7.16,7.46,7.58,7.96,7.85,7.51,6.64,7.41,8.15,8.45,7.83,8.19,7.69
T2M,1984,-12.25,-73.75,17.33,16.36,17.01,17.21,18.05,17.42,16.83,17.35,18.44,19.04,17.91,17.61,17.55
T2M,1984,-12.25,-74.25,14.96,13.99,14.59,14.63,15.34,14.61,14.06,14.46,15.48,16.35,15.39,15.09,14.92
T2M,1984,-12.25,-74.75,10.38,9.72,10.36,10.02,10.43,9.65,8.94,9.46,10.12,11.18,10.91,10.53,10.14
T2M,1984,-12.25,-75.25,6.94,6.67,7.28,6.9,6.98,6.18,5.42,6.03,6.62,7.5,7.61,7.31,6.79
T2M,1984,-12.25,-75.75,6.75,6.86,7.31,7.31,7.1,6.39,5.74,6.31,7.11,7.55,7.42,7.49,6.94
T2M,1984,-12.25,-76.25,10.76,11.26,11.35,11.79,11.36,10.98,10.35,10.84,11.64,11.82,11.06,11.74,11.24
T2M,1985,-10.75,-73.75,24.56,23.63,23.89,24.29,24.33,23.95,25.01,26.31,26.49,26.94,24.98,24.53,24.92
T2M,1985,-10.75,-74.25,22.54,21.73,21.99,22.6,22.75,22.25,22.94,24.08,24.37,24.88,23.24,23.15,23.05
T2M,1985,-10.75,-74.75,21.01,20.58,20.81,21.4,21.87,21.25,21.59,22.53,23.14,23.42,22.28,22.27,21.85
T2M,1985,-10.75,-75.25,16.98,16.81,17.01,17.25,17.61,16.58,16.83,17.72,18.47,18.85,18.05,18.06,17.52
T2M,1985,-10.75,-75.75,10.75,10.65,10.85,10.62,10.49,8.86,9.27,10.25,10.92,11.72,11.07,11.05,10.54
T2M,1985,-10.75,-76.25,6.0,5.99,6.18,5.9,5.69,3.7,4.18,5.19,5.93,6.82,6.36,6.15,5.67
T2M,1985,-11.25,-73.75,22.73,21.93,22.35,22.73,22.9,22.33,23.18,24.3,24.65,25.14,23.5,23.09,23.24
T2M,1985,-11.25,-74.25,20.75,20.09,20.48,20.95,21.15,20.5,21.09,22.13,22.59,23.16,21.71,21.54,21.35
T2M,1985,-11.25,-74.75,16.53,16.25,16.52,16.83,17.04,16.04,16.43,17.4,17.99,18.48,17.45,17.51,17.04
T2M,1985,-11.25,-75.25,12.29,12.19,12.39,12.41,12.4,10.88,11.3,12.23,12.91,13.59,12.83,12.97,12.37
T2M,1985,-11.25,-75.75,8.86,8.77,8.96,8.77,8.45,6.47,7.05,7.95,8.71,9.73,9.04,9.05,8.48
T2M,1985,-11.25,-76.25,5.71,5.94,6.04,6.01,5.8,3.81,4.26,5.17,5.98,6.87,6.33,6.06,5.66
T2M,1985,-11.75,-73.75,20.19,19.6,20.08,20.35,20.76,19.9,20.46,21.4,22.04,22.57,21.33,21.09,20.82
T2M,1985,-11.75,-74.25,17.96,17.51,17.88,18.12,18.41,17.51,17.95,18.9,19.49,20.18,19.03,18.86,18.49
T2M,1985,-11.75,-74.75,12.57,12.39,12.5,12.69,12.65,11.28,11.72,12.76,13.28,13.92,13.11,13.24,12.68
T2M,1985,-11.75,-75.25,8.57,8.55,8.55,8.6,8.3,6.43,6.97,8.04,8.6,9.42,8.76,8.96,8.31
T2M,1985,-11.75,-75.75,7.37,7.46,7.52,7.47,7.17,5.1,5.63,6.64,7.38,8.44,7.71,7.67,7.13
T2M,1985,-11.75,-76.25,7.26,7.69,7.81,7.97,7.95,6.32,6.4,7.3,8.21,8.86,8.24,7.83,7.65
T2M,1985,-12.25,-73.75,17.26,16.93,17.31,17.37,17.79,16.71,17.13,18.11,18.75,19.43,18.35,18.35,17.8
T2M,1985,-12.25,-74.25,14.81,14.54,14.77,14.79,15.01,13.89,14.26,15.22,15.71,16.64,15.68,15.65,15.09
T2M,1985,-12.25,-74.75,10.27,10.17,10.08,10.21,10.04,8.51,9.0,10.08,10.51,11.31,10.65,10.78,10.13
T2M,1985,-12.25,-75.25,6.97,7.06,6.85,6.94,6.63,4.77,5.28,6.48,6.98,7.78,7.18,7.29,6.68
T2M,1985,-12.25,-75.75,6.89,7.18,7.14,7.1,6.94,5.23,5.42,6.56,7.25,8.08,7.38,7.25,6.86
T2M,1985,-12.25,-76.25,10.7,11.26,11.46,11.56,11.52,10.74,10.07,10.83,11.74,12.03,11.54,11.27,11.22
T2M,1986,-10.75,-73.75,24.55,23.3,23.12,23.46,23.96,23.8,23.89,26.19,25.81,25.52,25.99,24.6,24.52
T2M,1986,-10.75,-74.25,23.01,21.77,21.42,21.79,22.67,22.55,22.23,24.18,23.86,23.75,24.22,23.02,22.88
T2M,1986,-10.75,-74.75,21.95,20.91,20.6,20.92,21.77,21.66,21.35,22.86,22.78,22.69,23.14,22.06,21.9
T2M,1986,-10.75,-75.25,17.88,17.17,16.96,17.13,17.63,17.32,16.64,18.15,18.2,18.31,18.78,18.03,17.69
T2M,1986,-10.75,-75.75,11.25,10.8,10.71,10.72,10.83,10.18,8.89,10.67,10.73,11.21,11.67,11.37,10.75
